epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,862.555,1.03079,0.66448,1.04883,0.96692,0.97716,0.97861,0.70834,0.96568,0.4973,0.99278,0.00126521,0.000421736,0.00126521,0.000421736,0.00126521,0.000421736,0.00126521,0.000421736
96,871.648,0.99673,0.64324,1.03352,0.96534,0.97496,0.97544,0.70474,0.95051,0.49143,0.98899,0.00124321,0.000414403,0.00124321,0.000414403,0.00124321,0.000414403,0.00124321,0.000414403
97,880.755,1.01667,0.65285,1.03976,0.96166,0.97701,0.97704,0.70678,0.95041,0.49579,0.98925,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
98,889.961,1.0236,0.65762,1.03937,0.97005,0.97678,0.97923,0.70667,0.958,0.5,0.99252,0.00119921,0.000399738,0.00119921,0.000399738,0.00119921,0.000399738,0.00119921,0.000399738
99,899.111,1.00154,0.63778,1.03811,0.96933,0.97672,0.97786,0.71108,0.95568,0.499,0.9967,0.00117722,0.000392405,0.00117722,0.000392405,0.00117722,0.000392405,0.00117722,0.000392405
100,908.267,1.00453,0.6444,1.0324,0.97283,0.97632,0.97608,0.70575,0.9613,0.4987,0.99396,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
101,917.462,1.00107,0.62945,1.02299,0.97209,0.97805,0.97808,0.71126,0.93374,0.48889,0.98888,0.00113322,0.00037774,0.00113322,0.00037774,0.00113322,0.00037774,0.00113322,0.00037774
102,926.627,0.99816,0.63097,1.03546,0.96905,0.97583,0.97902,0.7215,0.93417,0.48796,0.98843,0.00111122,0.000370407,0.00111122,0.000370407,0.00111122,0.000370407,0.00111122,0.000370407
103,935.833,1.00477,0.64016,1.03003,0.97021,0.97755,0.97907,0.72034,0.93178,0.4918,0.98677,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
104,944.969,1.00162,0.63506,1.03422,0.97243,0.97748,0.97971,0.71618,0.93033,0.49481,0.98768,0.00106723,0.000355742,0.00106723,0.000355742,0.00106723,0.000355742,0.00106723,0.000355742
105,954.079,1.0036,0.63988,1.0451,0.97338,0.97668,0.98071,0.7174,0.93462,0.48791,0.98827,0.00104523,0.00034841,0.00104523,0.00034841,0.00104523,0.00034841,0.00104523,0.00034841
106,963.266,1.02044,0.6414,1.03459,0.97123,0.97401,0.98051,0.721,0.92875,0.4845,0.98547,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
107,972.427,0.99308,0.63997,1.03596,0.9705,0.97767,0.98008,0.71742,0.93044,0.49183,0.98952,0.00100123,0.000333744,0.00100123,0.000333744,0.00100123,0.000333744,0.00100123,0.000333744
108,981.56,0.98622,0.62164,1.0263,0.97275,0.97752,0.97719,0.71928,0.92634,0.48473,0.98589,0.000979235,0.000326412,0.000979235,0.000326412,0.000979235,0.000326412,0.000979235,0.000326412
109,990.726,0.99383,0.62727,1.02519,0.97427,0.97602,0.97819,0.71695,0.93442,0.48362,0.98721,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
110,999.888,1.00467,0.6495,1.03425,0.9721,0.97177,0.98016,0.71783,0.93974,0.4814,0.98611,0.00093524,0.000311747,0.00093524,0.000311747,0.00093524,0.000311747,0.00093524,0.000311747
111,1009.08,0.99219,0.62931,1.03453,0.96991,0.97637,0.97845,0.71778,0.93986,0.47966,0.98406,0.000913242,0.000304414,0.000913242,0.000304414,0.000913242,0.000304414,0.000913242,0.000304414
112,1018.26,0.99822,0.62359,1.02598,0.97123,0.97447,0.97957,0.72208,0.9354,0.48196,0.98447,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
113,1027.39,1.00954,0.64818,1.03033,0.97007,0.97621,0.97744,0.71531,0.93439,0.48319,0.98852,0.000869246,0.000289749,0.000869246,0.000289749,0.000869246,0.000289749,0.000869246,0.000289749
114,1036.62,0.99624,0.63336,1.03847,0.97019,0.9718,0.97963,0.71787,0.93918,0.48059,0.98698,0.000847249,0.000282416,0.000847249,0.000282416,0.000847249,0.000282416,0.000847249,0.000282416
115,1045.75,0.99377,0.6376,1.03288,0.9708,0.9769,0.98062,0.72225,0.92926,0.47777,0.98288,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
116,1054.97,0.99296,0.64127,1.02482,0.97189,0.97632,0.98217,0.72246,0.93313,0.47966,0.98466,0.000803253,0.000267751,0.000803253,0.000267751,0.000803253,0.000267751,0.000803253,0.000267751
117,1064.19,0.98101,0.62424,1.02319,0.97132,0.97752,0.98185,0.71675,0.929,0.47704,0.98516,0.000781255,0.000260418,0.000781255,0.000260418,0.000781255,0.000260418,0.000781255,0.000260418
118,1073.32,0.99274,0.63615,1.02976,0.97159,0.9762,0.98108,0.71907,0.92595,0.48008,0.98478,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
119,1082.93,0.98919,0.63179,1.0329,0.97014,0.97771,0.9804,0.7184,0.92935,0.48047,0.98502,0.00073726,0.000245753,0.00073726,0.000245753,0.00073726,0.000245753,0.00073726,0.000245753
120,1092.19,0.97938,0.61021,1.01977,0.97097,0.97752,0.97915,0.71616,0.92901,0.4778,0.98193,0.000715262,0.000238421,0.000715262,0.000238421,0.000715262,0.000238421,0.000715262,0.000238421
121,1101.33,0.9814,0.628,1.01684,0.97171,0.97695,0.98015,0.71914,0.93247,0.47962,0.98288,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
122,1110.54,0.99413,0.63229,1.02823,0.97158,0.97605,0.97953,0.72027,0.93259,0.47958,0.98114,0.000671266,0.000223755,0.000671266,0.000223755,0.000671266,0.000223755,0.000671266,0.000223755
