epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,339.532,1.12176,0.94016,1.09633,0.98351,0.98824,0.99127,0.70066,1.01332,0.59159,1.03377,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
62,345.119,1.14419,0.94878,1.11489,0.98639,0.9848,0.99163,0.6938,1.03669,0.59463,1.03566,0.00199113,0.000663711,0.00199113,0.000663711,0.00199113,0.000663711,0.00199113,0.000663711
63,350.615,1.14447,0.96376,1.09969,0.98582,0.98926,0.99233,0.70588,1.00762,0.58743,1.02659,0.00196914,0.000656379,0.00196914,0.000656379,0.00196914,0.000656379,0.00196914,0.000656379
64,356.134,1.14547,0.94644,1.11714,0.98306,0.9892,0.99103,0.6958,1.02443,0.5986,1.03049,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
65,361.624,1.14098,0.94267,1.10467,0.9822,0.98824,0.99077,0.70346,1.00706,0.58431,1.03264,0.00192514,0.000641714,0.00192514,0.000641714,0.00192514,0.000641714,0.00192514,0.000641714
66,367.172,1.14094,0.93445,1.11147,0.98438,0.98824,0.9914,0.70811,1.00277,0.5757,1.03191,0.00190314,0.000634381,0.00190314,0.000634381,0.00190314,0.000634381,0.00190314,0.000634381
67,372.678,1.14751,0.93992,1.11032,0.9867,0.9892,0.99256,0.70422,1.00044,0.56789,1.02892,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
68,378.16,1.13848,0.9259,1.10894,0.9853,0.99114,0.99179,0.70364,1.0011,0.58447,1.0262,0.00185915,0.000619716,0.00185915,0.000619716,0.00185915,0.000619716,0.00185915,0.000619716
69,383.668,1.12468,0.92303,1.08242,0.98456,0.99332,0.99126,0.69784,1.01176,0.58857,1.02949,0.00183715,0.000612383,0.00183715,0.000612383,0.00183715,0.000612383,0.00183715,0.000612383
70,389.151,1.13157,0.93408,1.10144,0.98559,0.99294,0.99094,0.70538,1.02249,0.58216,1.03752,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
71,394.638,1.12251,0.91798,1.11602,0.98446,0.99421,0.99086,0.71129,1.00644,0.58341,1.03078,0.00179315,0.000597718,0.00179315,0.000597718,0.00179315,0.000597718,0.00179315,0.000597718
72,400.18,1.12101,0.93409,1.11181,0.98393,0.99439,0.99217,0.70932,1.01111,0.57143,1.03001,0.00177116,0.000590385,0.00177116,0.000590385,0.00177116,0.000590385,0.00177116,0.000590385
73,405.664,1.14197,0.92862,1.1059,0.98248,0.99402,0.99306,0.70618,1.00177,0.55874,1.02606,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
74,411.168,1.12303,0.88477,1.0869,0.98453,0.99274,0.99248,0.70517,1.00149,0.5493,1.02445,0.00172716,0.00057572,0.00172716,0.00057572,0.00172716,0.00057572,0.00172716,0.00057572
75,416.661,1.1199,0.9013,1.08911,0.98453,0.99498,0.99251,0.71123,1.00315,0.54535,1.02246,0.00170516,0.000568388,0.00170516,0.000568388,0.00170516,0.000568388,0.00170516,0.000568388
76,422.223,1.10889,0.89569,1.08062,0.98543,0.99337,0.99233,0.7029,1.00812,0.54511,1.02151,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
77,427.711,1.12339,0.86849,1.08073,0.9835,0.99062,0.99307,0.70812,0.99173,0.54195,1.01926,0.00166117,0.000553722,0.00166117,0.000553722,0.00166117,0.000553722,0.00166117,0.000553722
78,433.186,1.10869,0.87756,1.09337,0.98357,0.99472,0.99292,0.71035,0.98784,0.54318,1.01795,0.00163917,0.00054639,0.00163917,0.00054639,0.00163917,0.00054639,0.00163917,0.00054639
79,438.689,1.10361,0.90903,1.09837,0.98269,0.98958,0.99343,0.71001,0.99466,0.53674,1.02151,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
80,444.171,1.13155,0.89517,1.08592,0.98345,0.99435,0.9923,0.7123,0.99285,0.54249,1.0272,0.00159517,0.000531725,0.00159517,0.000531725,0.00159517,0.000531725,0.00159517,0.000531725
81,449.666,1.11128,0.86845,1.0775,0.97761,0.99522,0.99251,0.71655,0.98711,0.53259,1.02348,0.00157318,0.000524392,0.00157318,0.000524392,0.00157318,0.000524392,0.00157318,0.000524392
82,455.188,1.10137,0.88416,1.09376,0.97875,0.99567,0.99275,0.71803,0.97612,0.52755,1.0187,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
83,460.703,1.10172,0.89297,1.09611,0.98028,0.99342,0.99274,0.7127,0.99274,0.53525,1.02112,0.00152918,0.000509727,0.00152918,0.000509727,0.00152918,0.000509727,0.00152918,0.000509727
